"ESTU_TIPODOCUMENTO","ESTU_NACIONALIDAD","ESTU_GENERO","ESTU_MCPIO_RESIDE","COLE_AREA_UBICACION","COLE_NOMBRE_SEDE","DESEMP_LECTURA_CRITICA","DESEMP_MATEMATICAS","DESEMP_C_NATURALES","DESEMP_SOCIALES_CIUDADANAS","DESEMP_INGLES","PUNT_LECTURA_CRITICA","PUNT_MATEMATICAS","PUNT_C_NATURALES","PUNT_SOCIALES_CIUDADANAS","PUNT_INGLES","PUNT_GLOBAL","PERCENTIL_LECTURA_CRITICA","PERCENTIL_MATEMATICAS","PERCENTIL_C_NATURALES","PERCENTIL_SOCIALES_CIUDADANAS","PERCENTIL_INGLES","PERCENTIL_GLOBAL"
"TI","COLOMBIA","F","CALI","URBANO","INSTITUCIÓN EDUCATIVA TÉCNICA COMERCIAL HERNANDO NAVIA VARON - SEDE PRINCIPAL",2,2,2,1,"A1",50,49,47,40,54,235,29,31,33,22,39,29
"CC","COLOMBIA","F","CALI","URBANO","INSTITUCIÓN EDUCATIVA TÉCNICA COMERCIAL HERNANDO NAVIA VARON - SEDE PRINCIPAL",3,2,2,1,"A-",53,45,44,34,35,217,35,25,27,10,10,21
"TI","COLOMBIA","M","CALI","URBANO","INSTITUCIÓN EDUCATIVA TÉCNICA COMERCIAL HERNANDO NAVIA VARON - SEDE PRINCIPAL",3,3,2,2,"A1",60,52,44,41,49,246,54,38,27,23,32,34
"CC","COLOMBIA","M","CALI","URBANO","INSTITUCIÓN EDUCATIVA TÉCNICA COMERCIAL HERNANDO NAVIA VARON - SEDE PRINCIPAL",3,3,2,2,"A2",56,54,46,44,64,255,41,43,30,29,55,38
"TI","COLOMBIA","F","CALI","URBANO","COL VIRTUAL SIGLO XXI                                                                               ",2,2,1,1,"A-",41,39,38,34,44,192,11,15,14,9,23,11
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",2,2,2,1,"A1",38,38,48,33,53,202,7,13,35,9,38,15
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,3,2,2,"A1",51,54,50,42,57,249,31,42,38,25,45,35
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,3,3,3,"A2",60,64,61,61,64,308,55,66,62,63,55,61
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,3,2,2,"A1",53,52,52,42,48,248,34,38,42,25,31,35
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,3,2,2,"A-",61,57,55,54,47,280,56,49,48,48,29,48
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,3,2,2,"A2",52,53,49,46,63,255,32,39,36,32,54,38
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,3,2,3,"A-",63,55,55,60,45,286,63,44,49,61,26,51
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,2,2,2,"A-",53,47,54,53,43,255,34,28,48,46,22,38
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,3,2,2,"A1",58,55,49,49,57,265,47,43,37,39,45,42
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,4,3,3,"B1",60,71,70,62,78,333,53,83,87,66,77,73
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,3,3,3,"B1",56,61,57,58,74,296,41,57,53,57,69,55
